team,attendance,season,opponent,arena,city,state,game_type,team_abb,opponent_abb
Sacramento Monarchs,6788,1998,Phoenix Mercury,ARCO Arena,Sacramento,CA,Regular season,SAC,PHO
Los Angeles Sparks,9609,1998,Detroit Shock,Great Western Forum,Los Angeles,CA,Regular season,LAS,DET
Washington Mystics,15758,1998,Houston Comets,Verizon Center,Washington,DC,Regular season,WAS,HOU
New York Liberty,17396,1998,Cleveland Rockers,Madison Square Garden,New York,NY,Regular season,NYL,CLE
Utah Starzz,13762,1998,Phoenix Mercury,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,PHO
Washington Mystics,18552,1998,Charlotte Sting,Verizon Center,Washington,DC,Regular season,WAS,CHA
Detroit Shock,16246,1998,New York Liberty,Palace of Auburn Hills,Detroit,MI,Regular season,DET,NYL
Houston Comets,14931,1998,Los Angeles Sparks,Compaq Center,Houston,TX,Regular season,HOU,LAS
Phoenix Mercury,14189,1998,Sacramento Monarchs,US Airways Center,Phoenix,AZ,Regular season,PHO,SAC
Charlotte Sting,6087,1998,Houston Comets,Spectrum Center,Charlotte,NC,Semifinals,CHA,HOU
Phoenix Mercury,11631,1998,Cleveland Rockers,US Airways Center,Phoenix,AZ,Semifinals,PHO,CLE
Cleveland Rockers,10465,1998,Phoenix Mercury,Quicken Loans Arena,Cleveland,OH,Semifinals,CLE,PHO
Houston Comets,11901,1998,Charlotte Sting,Compaq Center,Houston,TX,Semifinals,HOU,CHA
Cleveland Rockers,8420,1998,Phoenix Mercury,Quicken Loans Arena,Cleveland,OH,Semifinals,CLE,PHO
Phoenix Mercury,13634,1998,Houston Comets,US Airways Center,Phoenix,AZ,Finals,PHO,HOU
Houston Comets,16285,1998,Phoenix Mercury,Compaq Center,Houston,TX,Finals,HOU,PHO
Houston Comets,16285,1998,Phoenix Mercury,Compaq Center,Houston,TX,Finals,HOU,PHO
Washington Mystics,20674,1999,Charlotte Sting,Verizon Center,Washington,DC,Regular season,WAS,CHA
New York Liberty,12411,1999,Cleveland Rockers,Madison Square Garden,New York,NY,Regular season,NYL,CLE
Orlando Miracle,15422,1999,Houston Comets,Amway Arena,Orlando,FL,Regular season,ORL,HOU
Los Angeles Sparks,8262,1999,Sacramento Monarchs,Great Western Forum,Los Angeles,CA,Regular season,LAS,SAC
Houston Comets,16285,1999,Washington Mystics,Compaq Center,Houston,TX,Regular season,HOU,WAS
Cleveland Rockers,15731,1999,Los Angeles Sparks,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,LAS
Charlotte Sting,8150,1999,New York Liberty,Spectrum Center,Charlotte,NC,Regular season,CHA,NYL
Minnesota Lynx,12122,1999,Detroit Shock,Target Center,Minneapolis,MN,Regular season,MIN,DET
Utah Starzz,14783,1999,Orlando Miracle,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,ORL
Sacramento Monarchs,11221,1999,Phoenix Mercury,ARCO Arena,Sacramento,CA,Regular season,SAC,PHO
Cleveland Rockers,5895,1999,Detroit Shock,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,DET
New York Liberty,12563,1999,Washington Mystics,Madison Square Garden,New York,NY,Regular season,NYL,WAS
Minnesota Lynx,8457,1999,Utah Starzz,Target Center,Minneapolis,MN,Regular season,MIN,UTA
Phoenix Mercury,13228,1999,Sacramento Monarchs,US Airways Center,Phoenix,AZ,Regular season,PHO,SAC
Orlando Miracle,7588,1999,Los Angeles Sparks,Amway Arena,Orlando,FL,Regular season,ORL,LAS
Detroit Shock,10745,1999,Orlando Miracle,Palace of Auburn Hills,Detroit,MI,Regular season,DET,ORL
Houston Comets,10160,1999,Utah Starzz,Compaq Center,Houston,TX,Regular season,HOU,UTA
Sacramento Monarchs,5833,1999,Cleveland Rockers,ARCO Arena,Sacramento,CA,Regular season,SAC,CLE
New York Liberty,13587,1999,Los Angeles Sparks,Madison Square Garden,New York,NY,Regular season,NYL,LAS
Washington Mystics,13423,1999,Detroit Shock,Verizon Center,Washington,DC,Regular season,WAS,DET
Charlotte Sting,6116,1999,Los Angeles Sparks,Spectrum Center,Charlotte,NC,Regular season,CHA,LAS
Orlando Miracle,10218,1999,Washington Mystics,Amway Arena,Orlando,FL,Regular season,ORL,WAS
Minnesota Lynx,11056,1999,Houston Comets,Target Center,Minneapolis,MN,Regular season,MIN,HOU
Utah Starzz,6147,1999,Sacramento Monarchs,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,SAC
Phoenix Mercury,13024,1999,Cleveland Rockers,US Airways Center,Phoenix,AZ,Regular season,PHO,CLE
New York Liberty,11902,1999,Detroit Shock,Madison Square Garden,New York,NY,Regular season,NYL,DET
Orlando Miracle,7771,1999,Phoenix Mercury,Amway Arena,Orlando,FL,Regular season,ORL,PHO
Washington Mystics,11060,1999,Phoenix Mercury,Verizon Center,Washington,DC,Regular season,WAS,PHO
Cleveland Rockers,6676,1999,Orlando Miracle,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,ORL
Detroit Shock,7212,1999,Charlotte Sting,Palace of Auburn Hills,Detroit,MI,Regular season,DET,CHA
Houston Comets,10479,1999,Los Angeles Sparks,Compaq Center,Houston,TX,Regular season,HOU,LAS
Sacramento Monarchs,5038,1999,Minnesota Lynx,ARCO Arena,Sacramento,CA,Regular season,SAC,MIN
Sacramento Monarchs,7306,1999,Utah Starzz,ARCO Arena,Sacramento,CA,Regular season,SAC,UTA
Charlotte Sting,4514,1999,Phoenix Mercury,Spectrum Center,Charlotte,NC,Regular season,CHA,PHO
Detroit Shock,7448,1999,Houston Comets,Palace of Auburn Hills,Detroit,MI,Regular season,DET,HOU
Los Angeles Sparks,8376,1999,Minnesota Lynx,Great Western Forum,Los Angeles,CA,Regular season,LAS,MIN
Washington Mystics,19458,1999,Houston Comets,Verizon Center,Washington,DC,Regular season,WAS,HOU
Cleveland Rockers,7255,1999,Charlotte Sting,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,CHA
Detroit Shock,7651,1999,Phoenix Mercury,Palace of Auburn Hills,Detroit,MI,Regular season,DET,PHO
Cleveland Rockers,8441,1999,Washington Mystics,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,WAS
Utah Starzz,5705,1999,Minnesota Lynx,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,MIN
Sacramento Monarchs,9216,1999,Los Angeles Sparks,ARCO Arena,Sacramento,CA,Regular season,SAC,LAS
New York Liberty,13337,1999,Charlotte Sting,Madison Square Garden,New York,NY,Regular season,NYL,CHA
Cleveland Rockers,9752,1999,Phoenix Mercury,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,PHO
Detroit Shock,7194,1999,New York Liberty,Palace of Auburn Hills,Detroit,MI,Regular season,DET,NYL
Houston Comets,10204,1999,Orlando Miracle,Compaq Center,Houston,TX,Regular season,HOU,ORL
Los Angeles Sparks,6259,1999,Utah Starzz,Great Western Forum,Los Angeles,CA,Regular season,LAS,UTA
Minnesota Lynx,8484,1999,Sacramento Monarchs,Target Center,Minneapolis,MN,Regular season,MIN,SAC
Charlotte Sting,7454,1999,Washington Mystics,Spectrum Center,Charlotte,NC,Regular season,CHA,WAS
Utah Starzz,6827,1999,Houston Comets,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,HOU
New York Liberty,13739,1999,Phoenix Mercury,Madison Square Garden,New York,NY,Regular season,NYL,PHO
Minnesota Lynx,8536,1999,Los Angeles Sparks,Target Center,Minneapolis,MN,Regular season,MIN,LAS
Houston Comets,9059,1999,Cleveland Rockers,Compaq Center,Houston,TX,Regular season,HOU,CLE
Detroit Shock,7681,1999,Los Angeles Sparks,Palace of Auburn Hills,Detroit,MI,Regular season,DET,LAS
Washington Mystics,14176,1999,Sacramento Monarchs,Verizon Center,Washington,DC,Regular season,WAS,SAC
Utah Starzz,4648,1999,Cleveland Rockers,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,CLE
Houston Comets,12003,1999,New York Liberty,Compaq Center,Houston,TX,Regular season,HOU,NYL
Orlando Miracle,10005,1999,Charlotte Sting,Amway Arena,Orlando,FL,Regular season,ORL,CHA
Minnesota Lynx,9560,1999,Phoenix Mercury,Target Center,Minneapolis,MN,Regular season,MIN,PHO
Detroit Shock,6827,1999,Sacramento Monarchs,Palace of Auburn Hills,Detroit,MI,Regular season,DET,SAC
New York Liberty,10940,1999,Sacramento Monarchs,Madison Square Garden,New York,NY,Regular season,NYL,SAC
Los Angeles Sparks,5947,1999,Cleveland Rockers,Great Western Forum,Los Angeles,CA,Regular season,LAS,CLE
Washington Mystics,12701,1999,New York Liberty,Verizon Center,Washington,DC,Regular season,WAS,NYL
Houston Comets,9808,1999,Minnesota Lynx,Compaq Center,Houston,TX,Regular season,HOU,MIN
Utah Starzz,4692,1999,Detroit Shock,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,DET
Charlotte Sting,4760,1999,Cleveland Rockers,Spectrum Center,Charlotte,NC,Regular season,CHA,CLE
Orlando Miracle,7229,1999,Minnesota Lynx,Amway Arena,Orlando,FL,Regular season,ORL,MIN
Phoenix Mercury,11366,1999,Los Angeles Sparks,US Airways Center,Phoenix,AZ,Regular season,PHO,LAS
Washington Mystics,12515,1999,Utah Starzz,Verizon Center,Washington,DC,Regular season,WAS,UTA
Cleveland Rockers,8018,1999,New York Liberty,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,NYL
Sacramento Monarchs,9505,1999,Houston Comets,ARCO Arena,Sacramento,CA,Regular season,SAC,HOU
Charlotte Sting,5839,1999,Orlando Miracle,Spectrum Center,Charlotte,NC,Regular season,CHA,ORL
Phoenix Mercury,12236,1999,Houston Comets,US Airways Center,Phoenix,AZ,Regular season,PHO,HOU
Los Angeles Sparks,5436,1999,Sacramento Monarchs,Great Western Forum,Los Angeles,CA,Regular season,LAS,SAC
Detroit Shock,8358,1999,Washington Mystics,Palace of Auburn Hills,Detroit,MI,Regular season,DET,WAS
Cleveland Rockers,9098,1999,Charlotte Sting,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,CHA
Orlando Miracle,11186,1999,Utah Starzz,Amway Arena,Orlando,FL,Regular season,ORL,UTA
New York Liberty,12975,1999,Minnesota Lynx,Madison Square Garden,New York,NY,Regular season,NYL,MIN
Los Angeles Sparks,6392,1999,Phoenix Mercury,Great Western Forum,Los Angeles,CA,Regular season,LAS,PHO
Houston Comets,12255,1999,Sacramento Monarchs,Compaq Center,Houston,TX,Regular season,HOU,SAC
Orlando Miracle,8487,1999,Detroit Shock,Amway Arena,Orlando,FL,Regular season,ORL,DET
Utah Starzz,5030,1999,Phoenix Mercury,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,PHO
Washington Mystics,12124,1999,Charlotte Sting,Verizon Center,Washington,DC,Regular season,WAS,CHA
Cleveland Rockers,7386,1999,Minnesota Lynx,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,MIN
Eastern Conference All Stars,18649,1999,Western Conference All Stars,Madison Square Garden,New York,NY,All star,EST,WST
Washington Mystics,13600,1999,Detroit Shock,Verizon Center,Washington,DC,Regular season,WAS,DET
Orlando Miracle,8826,1999,Charlotte Sting,Amway Arena,Orlando,FL,Regular season,ORL,CHA
Cleveland Rockers,9943,1999,Sacramento Monarchs,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,SAC
Utah Starzz,6702,1999,Houston Comets,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,HOU
Minnesota Lynx,10290,1999,New York Liberty,Target Center,Minneapolis,MN,Regular season,MIN,NYL
Phoenix Mercury,13483,1999,Los Angeles Sparks,US Airways Center,Phoenix,AZ,Regular season,PHO,LAS
Charlotte Sting,7819,1999,Washington Mystics,Spectrum Center,Charlotte,NC,Regular season,CHA,WAS
Orlando Miracle,10194,1999,Sacramento Monarchs,Amway Arena,Orlando,FL,Regular season,ORL,SAC
Detroit Shock,7632,1999,Cleveland Rockers,Palace of Auburn Hills,Detroit,MI,Regular season,DET,CLE
New York Liberty,14107,1999,Utah Starzz,Madison Square Garden,New York,NY,Regular season,NYL,UTA
Los Angeles Sparks,12178,1999,Houston Comets,Great Western Forum,Los Angeles,CA,Regular season,LAS,HOU
Washington Mystics,11008,1999,Orlando Miracle,Verizon Center,Washington,DC,Regular season,WAS,ORL
Charlotte Sting,4190,1999,Utah Starzz,Spectrum Center,Charlotte,NC,Regular season,CHA,UTA
Minnesota Lynx,9233,1999,Sacramento Monarchs,Target Center,Minneapolis,MN,Regular season,MIN,SAC
Phoenix Mercury,12285,1999,Houston Comets,US Airways Center,Phoenix,AZ,Regular season,PHO,HOU
New York Liberty,11902,1999,Orlando Miracle,Madison Square Garden,New York,NY,Regular season,NYL,ORL
Washington Mystics,20674,1999,Cleveland Rockers,Verizon Center,Washington,DC,Regular season,WAS,CLE
Detroit Shock,11253,1999,Utah Starzz,Palace of Auburn Hills,Detroit,MI,Regular season,DET,UTA
Charlotte Sting,4665,1999,Minnesota Lynx,Spectrum Center,Charlotte,NC,Regular season,CHA,MIN
Los Angeles Sparks,5723,1999,Phoenix Mercury,Great Western Forum,Los Angeles,CA,Regular season,LAS,PHO
Sacramento Monarchs,9467,1999,New York Liberty,ARCO Arena,Sacramento,CA,Regular season,SAC,NYL
Cleveland Rockers,8106,1999,Detroit Shock,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,DET
Charlotte Sting,8829,1999,Houston Comets,Spectrum Center,Charlotte,NC,Regular season,CHA,HOU
Minnesota Lynx,10098,1999,Washington Mystics,Target Center,Minneapolis,MN,Regular season,MIN,WAS
Phoenix Mercury,12226,1999,Orlando Miracle,US Airways Center,Phoenix,AZ,Regular season,PHO,ORL
Los Angeles Sparks,6896,1999,New York Liberty,Great Western Forum,Los Angeles,CA,Regular season,LAS,NYL
Cleveland Rockers,8556,1999,Utah Starzz,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,UTA
Sacramento Monarchs,9810,1999,Orlando Miracle,ARCO Arena,Sacramento,CA,Regular season,SAC,ORL
Detroit Shock,7215,1999,Charlotte Sting,Palace of Auburn Hills,Detroit,MI,Regular season,DET,CHA
Minnesota Lynx,11399,1999,Houston Comets,Target Center,Minneapolis,MN,Regular season,MIN,HOU
Phoenix Mercury,11776,1999,Washington Mystics,US Airways Center,Phoenix,AZ,Regular season,PHO,WAS
New York Liberty,14778,1999,Charlotte Sting,Madison Square Garden,New York,NY,Regular season,NYL,CHA
Utah Starzz,10054,1999,Washington Mystics,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,WAS
Houston Comets,11105,1999,Detroit Shock,Compaq Center,Houston,TX,Regular season,HOU,DET
Phoenix Mercury,11990,1999,Utah Starzz,US Airways Center,Phoenix,AZ,Regular season,PHO,UTA
Sacramento Monarchs,5262,1999,Minnesota Lynx,ARCO Arena,Sacramento,CA,Regular season,SAC,MIN
Los Angeles Sparks,5079,1999,Orlando Miracle,Great Western Forum,Los Angeles,CA,Regular season,LAS,ORL
Charlotte Sting,6588,1999,Detroit Shock,Spectrum Center,Charlotte,NC,Regular season,CHA,DET
Cleveland Rockers,11407,1999,Houston Comets,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,HOU
Orlando Miracle,11384,1999,New York Liberty,Amway Arena,Orlando,FL,Regular season,ORL,NYL
Phoenix Mercury,12120,1999,Minnesota Lynx,US Airways Center,Phoenix,AZ,Regular season,PHO,MIN
Sacramento Monarchs,7909,1999,Washington Mystics,ARCO Arena,Sacramento,CA,Regular season,SAC,WAS
Charlotte Sting,6537,1999,New York Liberty,Spectrum Center,Charlotte,NC,Regular season,CHA,NYL
Los Angeles Sparks,5576,1999,Utah Starzz,Great Western Forum,Los Angeles,CA,Regular season,LAS,UTA
Houston Comets,16285,1999,Phoenix Mercury,Compaq Center,Houston,TX,Regular season,HOU,PHO
Detroit Shock,6771,1999,Cleveland Rockers,Palace of Auburn Hills,Detroit,MI,Regular season,DET,CLE
Minnesota Lynx,12690,1999,Charlotte Sting,Target Center,Minneapolis,MN,Regular season,MIN,CHA
Utah Starzz,8155,1999,Sacramento Monarchs,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,SAC
Los Angeles Sparks,7716,1999,Washington Mystics,Great Western Forum,Los Angeles,CA,Regular season,LAS,WAS
New York Liberty,14719,1999,Orlando Miracle,Madison Square Garden,New York,NY,Regular season,NYL,ORL
Charlotte Sting,5841,1999,Cleveland Rockers,Spectrum Center,Charlotte,NC,Regular season,CHA,CLE
Detroit Shock,7029,1999,Washington Mystics,Palace of Auburn Hills,Detroit,MI,Regular season,DET,WAS
Minnesota Lynx,9374,1999,Phoenix Mercury,Target Center,Minneapolis,MN,Regular season,MIN,PHO
Houston Comets,10668,1999,Sacramento Monarchs,Compaq Center,Houston,TX,Regular season,HOU,SAC
Utah Starzz,6426,1999,New York Liberty,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,NYL
Charlotte Sting,7913,1999,Sacramento Monarchs,Spectrum Center,Charlotte,NC,Regular season,CHA,SAC
Orlando Miracle,9099,1999,Cleveland Rockers,Amway Arena,Orlando,FL,Regular season,ORL,CLE
Detroit Shock,8253,1999,Minnesota Lynx,Palace of Auburn Hills,Detroit,MI,Regular season,DET,MIN
Washington Mystics,12763,1999,Orlando Miracle,Verizon Center,Washington,DC,Regular season,WAS,ORL
Utah Starzz,4960,1999,Los Angeles Sparks,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,LAS
Minnesota Lynx,11097,1999,Los Angeles Sparks,Target Center,Minneapolis,MN,Regular season,MIN,LAS
Houston Comets,13308,1999,Charlotte Sting,Compaq Center,Houston,TX,Regular season,HOU,CHA
Phoenix Mercury,12884,1999,New York Liberty,US Airways Center,Phoenix,AZ,Regular season,PHO,NYL
Sacramento Monarchs,6893,1999,Detroit Shock,ARCO Arena,Sacramento,CA,Regular season,SAC,DET
Cleveland Rockers,10479,1999,Washington Mystics,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,WAS
Charlotte Sting,10523,1999,Orlando Miracle,Spectrum Center,Charlotte,NC,Regular season,CHA,ORL
Utah Starzz,7583,1999,Minnesota Lynx,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,MIN
Sacramento Monarchs,7590,1999,Phoenix Mercury,ARCO Arena,Sacramento,CA,Regular season,SAC,PHO
New York Liberty,19563,1999,Houston Comets,Madison Square Garden,New York,NY,Regular season,NYL,HOU
Washington Mystics,15512,1999,Cleveland Rockers,Verizon Center,Washington,DC,Regular season,WAS,CLE
Orlando Miracle,9059,1999,New York Liberty,Amway Arena,Orlando,FL,Regular season,ORL,NYL
Utah Starzz,7385,1999,Charlotte Sting,EnergySolutions Arena,Salt Lake City,UT,Regular season,UTA,CHA
Phoenix Mercury,11964,1999,Minnesota Lynx,US Airways Center,Phoenix,AZ,Regular season,PHO,MIN
Los Angeles Sparks,6858,1999,Detroit Shock,Great Western Forum,Los Angeles,CA,Regular season,LAS,DET
Sacramento Monarchs,7649,1999,Los Angeles Sparks,ARCO Arena,Sacramento,CA,Regular season,SAC,LAS
Washington Mystics,15388,1999,New York Liberty,Verizon Center,Washington,DC,Regular season,WAS,NYL
Minnesota Lynx,10104,1999,Utah Starzz,Target Center,Minneapolis,MN,Regular season,MIN,UTA
Phoenix Mercury,11352,1999,Detroit Shock,US Airways Center,Phoenix,AZ,Regular season,PHO,DET
Orlando Miracle,7028,1999,Cleveland Rockers,Amway Arena,Orlando,FL,Regular season,ORL,CLE
Houston Comets,13154,1999,Los Angeles Sparks,Compaq Center,Houston,TX,Regular season,HOU,LAS
Detroit Shock,12106,1999,New York Liberty,Palace of Auburn Hills,Detroit,MI,Regular season,DET,NYL
Utah Starzz,7493,1999,Phoenix Mercury,Dee Event Center,Ogden,UT,Regular season,UTA,PHO
Sacramento Monarchs,8406,1999,Charlotte Sting,ARCO Arena,Sacramento,CA,Regular season,SAC,CHA
Washington Mystics,19974,1999,Los Angeles Sparks,Verizon Center,Washington,DC,Regular season,WAS,LAS
Houston Comets,13859,1999,Minnesota Lynx,Compaq Center,Houston,TX,Regular season,HOU,MIN
Cleveland Rockers,11392,1999,Orlando Miracle,Quicken Loans Arena,Cleveland,OH,Regular season,CLE,ORL
Sacramento Monarchs,11215,1999,Utah Starzz,ARCO Arena,Sacramento,CA,Regular season,SAC,UTA
New York Liberty,15755,1999,Detroit Shock,Madison Square Garden,New York,NY,Regular season,NYL,DET
Orlando Miracle,11283,1999,Washington Mystics,Amway Arena,Orlando,FL,Regular season,ORL,WAS
Phoenix Mercury,11868,1999,Charlotte Sting,US Airways Center,Phoenix,AZ,Regular season,PHO,CHA
Minnesota Lynx,11230,1999,Cleveland Rockers,Target Center,Minneapolis,MN,Regular season,MIN,CLE
Houston Comets,10014,1999,Utah Starzz,Compaq Center,Houston,TX,Regular season,HOU,UTA
Los Angeles Sparks,9243,1999,Charlotte Sting,Great Western Forum,Los Angeles,CA,Regular season,LAS,CHA
New York Liberty,15688,1999,Washington Mystics,Madison Square Garden,New York,NY,Regular season,NYL,WAS
Phoenix Mercury,11328,1999,Sacramento Monarchs,US Airways Center,Phoenix,AZ,Regular season,PHO,SAC
Orlando Miracle,12039,1999,Detroit Shock,Amway Arena,Orlando,FL,Regular season,ORL,DET
Houston Comets,11497,1999,Phoenix Mercury,Compaq Center,Houston,TX,Regular season,HOU,PHO
Los Angeles Sparks,8943,1999,Minnesota Lynx,Great Western Forum,Los Angeles,CA,Regular season,LAS,MIN
New York Liberty,16782,1999,Cleveland Rockers,Madison Square Garden,New York,NY,Regular season,NYL,CLE
