Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Jackie Young</strong,LVA,G,34,767,34,34,767,76,236,0.322,14,44,0.318,62,192,0.323,59,73,0.808,23,111,153,26,12,53,47,225
Tamera Young</strong,LVA,F,34,628,34,4,628,68,179,0.38,5,16,0.313,63,163,0.387,39,61,0.639,35,124,67,23,4,48,61,180
Amanda Zahui B.</strong,NYL,C,24,558,24,23,558,81,173,0.468,22,69,0.319,59,104,0.567,23,27,0.852,26,152,21,26,33,32,79,207
Shavonte Zellous</strong,SEA,G,31,432,31,4,432,44,116,0.379,6,32,0.188,38,84,0.452,30,40,0.75,6,48,45,10,6,35,44,124
Kristine Anigwe</strong,TOT,F-C,27,250,27,0,250,22,68,0.324,0,0,,22,68,0.324,22,32,0.688,28,66,6,9,8,17,39,66
Bridget Carleton</strong,TOT,F,8,40,8,0,40,1,8,0.125,1,4,0.25,0,4,0,0,0,,1,4,1,0,0,1,2,3
Alaina Coates</strong,TOT,C,23,167,23,0,167,24,45,0.533,0,0,,24,45,0.533,12,21,0.571,21,60,2,5,11,9,37,60
Theresa Plaisance</strong,TOT,F,31,442,31,12,442,54,146,0.37,25,73,0.342,29,73,0.397,21,26,0.808,24,113,34,9,19,31,65,154
Karlie Samuelson</strong,TOT,F,7,84,7,0,84,3,14,0.214,3,12,0.25,0,2,0,0,0,,1,4,5,3,1,0,8,9
Asia Taylor</strong,TOT,F,12,96,12,0,96,10,28,0.357,0,2,0,10,26,0.385,6,8,0.75,8,21,8,2,1,7,10,26
Kristine Anigwe</strong,CON,F-C,17,121,17,0,121,11,35,0.314,0,0,,11,35,0.314,12,17,0.706,14,30,3,6,4,10,17,34
Bridget Carleton</strong,CON,F,4,29,4,0,29,0,6,0,0,2,0,0,4,0,0,0,,1,3,1,0,0,1,2,0
Alaina Coates</strong,MIN,C,14,92,14,0,92,15,31,0.484,0,0,,15,31,0.484,5,8,0.625,13,33,1,3,5,5,17,35
Theresa Plaisance</strong,DAL,F,22,378,22,12,378,46,123,0.374,23,67,0.343,23,56,0.411,17,22,0.773,21,97,34,6,17,30,53,132
Karlie Samuelson</strong,LAS,F,3,36,3,0,36,1,7,0.143,1,6,0.167,0,1,0,0,0,,0,2,3,0,0,0,2,3
Asia Taylor</strong,MIN,F,8,65,8,0,65,10,22,0.455,0,1,0,10,21,0.476,5,6,0.833,4,14,7,1,1,5,6,25
Kristine Anigwe</strong,DAL,F-C,10,129,10,0,129,11,33,0.333,0,0,,11,33,0.333,10,15,0.667,14,36,3,3,4,7,22,32
Bridget Carleton</strong,MIN,F,4,11,4,0,11,1,2,0.5,1,2,0.5,0,0,,0,0,,0,1,0,0,0,0,0,3
Alaina Coates</strong,ATL,C,9,75,9,0,75,9,14,0.643,0,0,,9,14,0.643,7,13,0.538,8,27,1,2,6,4,20,25
Theresa Plaisance</strong,CON,F,9,64,9,0,64,8,23,0.348,2,6,0.333,6,17,0.353,4,4,1,3,16,0,3,2,1,12,22
Karlie Samuelson</strong,DAL,F,4,48,4,0,48,2,7,0.286,2,6,0.333,0,1,0,0,0,,1,2,2,3,1,0,6,6
Asia Taylor</strong,PHO,F,4,31,4,0,31,0,6,0,0,1,0,0,5,0,1,2,0.5,4,7,1,1,0,2,4,1
